Positive,pos_chi
ABIDE,堅持
ABILITY,能力
ABLE,有能力的
ABOUND,盛產
ABSOLVE,開脫
ABSORBENT,吸收劑
ABSORPTION,吸收
ABUNDANCE,豐富
ABUNDANT,豐富
ACCEDE,加入
ACCENTUATE,突出
ACCEPT,接受
ACCEPTABLE,可接受的
ACCEPTANCE,驗收
ACCESSIBLE,無障礙
ACCESSION,加入
ACCLAIM,歡呼
ACCLAMATION,鼓掌
ACCOLADE,assholade.
ACCOMMODATE,容納
ACCOMMODATION,住宿
ACCOMPANIMENT,伴奏
ACCOMPLISH,完成
ACCOMPLISHMENT,成就
ACCORD#2,雅閣＃2
ACCORD#3,雅閣＃3
ACCORD#5,雅閣＃5
ACCORDANCE,根據
ACCOUNTABLE,責任
ACCRUE,累積
ACCURACY,準確性
ACCURATE,準確的
ACCURATENESS,準確性
ACHIEVE,達到
ACHIEVEMENT,成就
ACKNOWLEDGEMENT,承認
ACQUAINT,熟悉
ACQUAINTANCE,熟人
ACQUIT,
ACQUITTAL,開釋
ACTUAL#1,實際＃1
ACTUAL#2,實際＃2
ACTUALITY,現實
ADAMANT,ad
ADAPTABILITY,適應性
ADAPTABLE,適應
ADAPTATION,適應
ADAPTIVE,自適應
ADEPT,嫻熟
ADEPTNESS,嫻熟
ADEQUATE,足夠的
ADHERENCE,堅持
ADHERENT,堅持
ADHESION,粘附
ADHESIVE,粘合劑
ADJUNCT,附件
ADJUST#2,調整＃2
ADJUSTABLE,可調節的
ADJUSTMENT,調整
ADMIRABLE,adm
ADMIRATION,欽佩
ADMIRE,欽佩
ADMIRER,愛慕者
ADMIT#1,承認＃1
ADMIT#2,承認＃2
ADMIT#3,承認＃3
ADMITTANCE,准入
ADORABLE,可愛
ADORE,崇拜
ADORN,裝飾
ADORNMENT,裝飾
ADROIT,adroit.
ADROITLY,巧妙
ADULATION,ad
ADULT#2,成人＃2
ADVANCE#1,進步＃1
ADVANCE#2,前進＃2
ADVANCE#3,進步＃3
ADVANCEMENT,進步
ADVANTAGE,優勢
ADVANTAGEOUS,有利
ADVENT,來臨
ADVENTURESOME,冒險
ADVENTUROUS,冒險
ADVISABLE,建議
ADVOCACY,倡導
AFFABILITY,親切
AFFABLE,寶
AFFECTION,感情
AFFECTIONATE,親熱
AFFILIATE,聯盟
AFFILIATION,聯繫
AFFINITY,親和力
AFFIRM,確認
AFFIRMATION,肯定
AFFIRMATIVE,肯定
AFFIX,詞綴
AFFLUENCE,富裕
AFFLUENT,富裕
AFLOAT,漂浮
AGGREGATE,總計的
AGGREGATION,聚合
AGILE,敏捷
AGILITY,敏捷
AGREEABLE,合適的
AGREEMENT,協議
AID#1,援助＃1
AID#2,援助＃2
ALERTNESS,警覺
ALIGHT,al
ALIVE,活
ALLEGIANCE,忠誠
ALLEVIATE,減輕
ALLIANCE,聯盟
ALLIED,盟國
ALLIES,盟國
ALLOW#1,允許＃1
ALLOWABLE,允許
ALLOWANCE,津貼
ALLURE,引誘
ALLY#1,盟友＃1
ALMIGHTY,全能
ALTRUISTIC,利他主義
AMAZEMENT,驚喜
AMAZING,驚人
AMELIORATE,改善
AMENABLE,可用
AMENITY,舒適
AMIABILITY,和藹
AMIABLE,可親
AMICABLE,友好
AMNESTY,大赦
AMOUR,戀情
AMPLE,充足
AMPLIFY,放大
AMPLY,放心
AMUSE,娛樂
AMUSEMENT,娛樂
ANGEL,天使
ANGELIC,天使
ANOINT,塗鴉
APOCALYPSE,天啟
APPEAL#3,上訴＃3
APPEASE,安撫
APPEND,附加
APPLAUD,鼓掌
APPLAUSE,掌聲
APPOINT#1,任命＃1
APPOINT#2,任命＃2
APPRECIABLE,可觀
APPRECIATE,欣賞
APPRECIATION,欣賞
APPRECIATIVE,欣賞
APPREHEND,逮捕
APPROACH#1,接近＃1
APPROACH#2,接近＃2
APPROPRIATE#1,適當的＃1
APPROVAL,贊同
APPROVE#1,批准＃1
APPROVE#2,批准＃2
APT,易於
APTITUDE,能力
ARBITER,仲裁者
ARBITRATE,仲裁
ARBITRATION,仲裁
ARDENT,熱心
ARISEN,出現
ARISTOCRACY,貴族
ARISTOCRAT,貴族
ARISTOCRATIC,貴族
ARREST#3,逮捕＃3
ART#1,藝術＃1
ART#4,藝術＃4
ASCRIBE,歸咎於
ASPIRATION,願望
ASPIRE,渴望
ASSENT,同意
ASSERTION,斷言
ASSET,資產
ASSIST#1,助攻＃1
ASSIST#2,助攻＃2
ASSISTANCE,協助
ASSISTANT,助手
ASSOCIATE#1,關聯＃1
ASSOCIATE#2,關聯＃2
ASSOCIATE#3,關聯＃3
ASSOCIATION#1,協會＃1
ASSOCIATION#2,協會＃2
ASSURANCE,保證
ASSURE#1,保證＃1
ASSURE#2,保證＃2
ASSURE#3,保證＃3
ASSUREDLY,嚇住了
ASTOUND,驚奇
ASTUTE,精明
ATHLETIC,運動
ATTACHMENT,附件
ATTAIN,達到
ATTAINMENT,素養
ATTEND#1,參加＃1
ATTENDANCE,出勤
ATTENTIVE,細心
ATTRACT,吸引
ATTRACTION,吸引力
ATTRACTIVE,吸引人的
ATTRACTIVENESS,吸引力
ATTUNE,att
AUDIBLE,可聽
AUGMENT,增加
AUGMENTATION,增強
AUSPICIOUS,吉祥
AUTHENTIC,真正的
AUTHENTICITY,真實性
AUTHORITATIVE,權威性
AUTHORITY,權威
AUTONOMOUS,自主性
AVAILABILITY,可用性
AVID,狂熱
AWARD#1,獎第一
AWARD#2,獎金＃2
AWARE,知道的
